Baker,Age,Occupation,Hometown,Links
Alice Fevronia,28,Geography teacher,Essex,
Amelia Le Bruin,24,Fashion designer,Halifax,
Dan Chambers,32,Support worker,Rotherham,
David Atherton,36,International health adviser,Whitby,[4]
Helena Garcia,40,Online project manager,Leeds,
Henry Bird,20,Student,Durham,
Jamie Finn,20,Part-time waiter,Surrey,
Michael Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,
Michelle Evans-Fecci,35,Print shop administrator,"Tenby, Wales",
Phil Thorne,56,HGV driver,Rainham,
Priya O'Shea,34,Marketing consultant,Leicester,
Rosie Brandreth-Poynter,28,Veterinary surgeon,Somerset,
Steph Blackwell,28,Shop assistant,Chester,
