Baker[3],Age,Occupation,Hometown,links
Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",[4][5]
Claire Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",[6][7]
Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",[8]
Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",[9]
Iain Watters,31,Construction Engineer,London/Belfast,[10]
Jordan Cox,32,IT Manager,"Sneinton, Nottingham",[11][12]
Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",[13]
Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",[14][15]
Martha Collison,17,Student,"Ascot, Berkshire",[16]
Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",[17]
Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",[18]
Richard Burr,38,Builder,"Mill Hill, London",[19][20]
