Baker,Age,Occupation,Hometown
Ben Frazer,31,Graphic Designer,Northampton
Holly Bell,31,Advertising executive,Leicester
Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
Jason White,19,Civil Engineering Student,Croydon
"Joanne ""Jo"" Wheatley",41,Housewife,"Ongar, Essex"
Keith Batsford,31,House husband,"Arlesey, Bedfordshire"
Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire"
Robert Billington,25,Photographer,London
Simon Blackwell,31,Rugby Coach,Norfolk
Urvashi Roe,40,Head of Marketing,"Enfield, London"
Yasmin Limbert,43,Childminder,"West Kirby, The Wirral"
