Baker [1],Age,Occupation,Hometown,Links
Antony Amourdoux,30,Banker,London,[5]
Briony Williams,33,Full-time parent,Bristol,[6][7]
Dan Beasley-Harling,36,Full-time parent,London,[8][9]
Imelda McCarron,33,Countryside recreation officer,County Tyrone,[10][11]
Jon Jenkins,47,Blood courier,Newport,[12][13]
Karen Wright,60,In-store sampling assistant,Wakefield,[14]
Kim-Joy Hewlett,27,Mental health specialist,Leeds,[15][16]
Luke Thompson,30,Civil servant/house and techno DJ,Sheffield,[17]
Manon Lagrève,26,Software project manager,London,[18][19]
Rahul Mandal,30,Research scientist,Rotherham,[20][21]
Ruby Bhogal,29,Project manager,London,[22][23]
Terry Hartill,56,Retired air steward,West Midlands,[24][25]
